sensor-left,sensor-front,sensor-right,direction
sensor-left,sensor-front,sensor-right,direction
13.0344,0,10.3158,156.0266
13.23395,0,10.08706,154.9259
13.42009,0,9.84568,153.8079
13.61403,0,9.590857,152.6738
13.78231,0,9.353171,151.5248
13.95837,0,9.102662,150.3622
14.1221,0,8.860085,149.1876
14.27965,0,8.643822,148.0023
14.44008,0,8.413073,146.8081
14.44008,0,8.413073,146.8081
14.57892,0,8.215667,145.6064
14.72378,0,8.017209,144.3988
14.85659,0,7.818506,143.187
14.98211,0,7.65052,141.9728
15.1125,0,7.468369,140.758
15.1125,0,7.468369,140.758
15.21834,0,7.313966,139.5444
15.32888,0,7.161504,138.3335
15.43193,0,7.008771,137.127
15.52196,0,6.885202,135.9265
15.61604,0,6.748075,134.7333
15.61604,0,6.748075,134.7333
15.69084,0,6.641366,133.5488
15.76361,0,6.533467,132.3739
15.8342,0,6.432092,131.2098
15.88462,0,6.353633,130.0574
15.93973,0,6.26246,128.9177
15.93973,0,6.26246,128.9177
15.97777,0,6.211183,127.7914
16.01037,0,6.150633,126.6793
16.04074,0,6.108988,125.5825
16.05013,0,6.080192,124.5019
16.0641,0,6.050017,123.4381
16.0641,0,6.050017,123.4381
16.05715,0,6.054351,122.3917
16.04751,0,6.047559,121.3632
16.0297,0,6.07617,120.3533
15.99607,0,6.104654,119.3626
15.96605,0,6.148812,118.3917
15.96605,0,6.148812,118.3917
15.90823,0,6.214514,117.4409
15.85644,0,6.275447,116.5103
15.78253,0,6.380841,115.6003
15.70693,0,6.476311,114.7114
15.61763,0,6.607667,113.8441
15.61763,0,6.607667,113.8441
15.51837,0,6.745747,112.9987
15.41239,0,6.899165,112.1755
15.28974,0,7.083075,111.3747
15.16588,0,7.260029,110.5965
15.02034,0,7.493423,109.8413
15.02034,0,7.493423,109.8413
14.87749,0,7.717455,109.1095
14.7098,0,7.954733,108.4013
14.54678,0,8.193059,107.7167
14.35767,0,8.423141,107.056
14.17337,0,8.645412,106.4195
14.17337,0,8.645412,106.4195
13.96371,0,8.860325,105.8076
13.75695,0,9.068315,105.2203
13.52756,0,9.269753,104.6579
13.29714,0,9.464978,104.1203
13.06571,0,9.654322,103.6077
12.83715,0,9.838093,103.1203
12.83715,0,9.838093,103.1203
12.61786,0,10.0166,102.6583
12.40725,0,10.19014,102.2217
12.20478,0,10.359,101.8104
12.00993,0,10.52345,101.4243
11.8222,0,10.68376,101.0636
11.8222,0,10.68376,101.0636
11.64109,0,10.84025,100.7281
11.46615,0,10.99315,100.418
11.29691,0,11.14275,100.1328
11.13293,0,11.28931,99.87265
10.97379,0,11.43312,99.63715
10.81909,0,11.57442,99.42627
10.81909,0,11.57442,99.42627
10.66844,0,11.71351,99.24002
10.52143,0,11.85064,99.07791
10.37772,0,11.98609,98.93973
10.23694,0,12.12013,98.82532
10.09874,0,12.25303,98.73413
10.09874,0,12.25303,98.73413
9.96277,44.41861,12.38509,98.66638
9.82872,43.66535,12.51657,98.62146
9.69626,42.9266,12.64777,98.59924
9.565084,42.20134,12.77894,98.59915
9.434892,41.4891,12.91038,98.62109
9.305371,40.78829,13.04241,98.66507
9.305371,40.78829,13.04241,98.66507
9.176257,40.09382,13.17531,98.73087
9.047243,39.40918,13.30938,98.81784
8.918057,38.73377,13.44489,98.92538
8.788433,38.06742,13.58217,99.05356
8.658096,37.40999,13.72154,99.20255
8.526799,36.76088,13.86329,99.37164
8.260224,35.48673,14.16237,99.76947
8.124446,34.86083,14.32256,99.99713
7.986792,34.24263,14.48637,100.2436
7.847002,33.6323,14.62364,100.5094
7.847002,33.6323,14.62364,100.5094
7.704766,33.02975,14.72042,100.7952
7.559816,32.43457,14.82133,101.1005
7.40624,31.84641,14.91568,101.4244
7.287664,31.25384,14.95198,101.7671
7.203446,30.65852,14.9928,102.1279
7.203446,30.65852,14.9928,102.1279
7.173458,30.06996,15.03843,102.507
7.178227,29.48789,15.01932,102.9038
7.209446,28.91289,15.00335,103.3191
