sensor-left,sensor-front,sensor-right,direction
sensor-left,sensor-front,sensor-right,direction
14.66304,0,7.482652,92.75935
14.69061,0,7.472525,93.59286
14.73232,0,7.453368,94.43963
14.78858,0,7.425072,95.3006
14.85987,0,7.387473,96.17652
14.94668,0,7.34044,97.06808
15.04956,0,7.283767,97.97593
15.16911,0,7.217285,98.90067
15.306,0,7.140767,99.8429
15.46092,0,7.053984,100.803
15.63466,0,6.956666,101.7814
15.82799,0,6.848524,102.7783
15.82799,0,6.848524,102.7783
16.0336,0,6.72925,103.7952
16.24715,0,6.598467,104.8307
16.443,0,6.455789,105.8848
16.64031,0,6.300776,106.9575
16.81498,0,6.132968,108.0486
16.98337,0,5.951828,109.1579
16.98337,0,5.951828,109.1579
17.15133,0,5.756801,110.2864
17.29149,0,5.5472,111.4323
17.4317,0,5.331822,112.594
17.56645,0,5.123005,113.7711
17.6788,0,4.911706,114.9633
17.6788,0,4.911706,114.9633
17.79065,0,4.738628,116.1701
17.89545,0,4.556201,117.3897
17.9802,0,4.416255,118.6217
18.06417,0,4.26123,119.8655
18.14203,0,4.15194,121.1194
18.14203,0,4.15194,121.1194
18.19973,0,4.02821,122.3828
18.25645,0,3.942384,123.6539
18.30953,0,3.848081,124.9322
18.34063,0,3.784929,126.2172
18.37074,0,3.718727,127.5071
18.39978,0,3.677612,128.8012
18.39978,0,3.677612,128.8012
18.4056,0,3.638553,130.0992
18.40945,0,3.619194,131.3991
18.4122,0,3.606851,132.6989
18.39546,0,3.609315,133.9984
18.37309,0,3.623766,135.2957
18.37309,0,3.623766,135.2957
18.34888,0,3.648496,136.59
18.30983,0,3.690294,137.8797
18.25989,0,3.738063,139.164
18.20819,0,3.808223,140.4412
18.14546,0,3.880121,141.7107
18.06723,0,3.980141,142.9711
18.06723,0,3.980141,142.9711
17.98732,0,4.077578,144.2215
17.8985,0,4.209395,145.4606
17.79115,0,4.334013,146.6878
17.68237,0,4.499932,147.9018
17.56452,0,4.653585,149.1021
17.56452,0,4.653585,149.1021
17.42755,0,4.856234,150.2877
17.28974,0,5.044702,151.4576
17.13956,0,5.28318,152.6109
16.97322,0,5.510927,153.7465
16.80726,0,5.834548,154.8635
16.62168,0,6.159916,155.9607
16.42778,0,6.469347,157.0376
16.23395,0,6.763936,158.0936
16.01231,0,7.044352,159.1278
15.79403,0,7.311364,160.1399
15.56009,0,7.565551,161.1288
15.31601,0,7.807547,162.0942
15.07095,0,8.03785,163.0353
14.80251,0,8.25707,163.9514
14.5421,0,8.465785,164.8425
14.25162,0,8.664412,165.7079
14.25162,0,8.664412,165.7079
13.97918,0,8.853412,166.5469
13.72359,0,9.033364,167.3596
13.48396,0,9.204582,168.1458
13.25953,0,9.367328,168.9052
13.04951,0,9.52189,169.6374
13.04951,0,9.52189,169.6374
12.85311,0,9.668621,170.3418
12.66945,0,9.807943,171.0183
12.49776,0,9.940181,171.6667
12.33735,0,10.06561,172.287
12.18756,0,10.18451,172.8792
12.04779,0,10.29709,173.4434
12.04779,0,10.29709,173.4434
11.91744,0,10.40363,173.9793
11.79594,0,10.50435,174.4871
11.68275,0,10.59949,174.967
11.57736,0,10.68927,175.4193
11.47925,0,10.77395,175.8442
11.47925,0,10.77395,175.8442
11.38793,0,10.85373,176.2421
11.30298,0,10.92883,176.6132
11.22393,0,10.9995,176.9581
11.15038,0,11.06594,177.2773
11.08189,0,11.12842,177.5711
11.01812,0,11.18712,177.8403
11.01812,0,11.18712,177.8403
10.95869,0,11.24226,178.0856
10.90323,0,11.2941,178.3074
10.85142,0,11.34285,178.5066
10.80293,0,11.38873,178.6836
10.75744,0,11.43198,178.8394
10.7147,0,11.47279,178.9747
10.6744,0,11.51137,179.0902
10.6744,0,11.51137,179.0902
10.63629,0,11.54796,179.1872
10.60013,0,11.58275,179.2662
10.56568,0,11.61594,179.3282
10.53271,0,11.64773,179.3738
10.50105,0,11.67829,179.4041
10.47047,0,11.70782,179.4199
10.44081,0,11.73648,179.4221
10.41188,0,11.76446,179.4118
10.41188,0,11.76446,179.4118
10.38354,0,11.79189,179.3902
10.35566,0,11.81891,179.3583
10.32809,0,11.84565,179.3168
10.30072,0,11.87225,179.2667
10.27344,0,11.89882,179.2088
10.24615,0,11.92545,179.1441
10.21875,0,11.95226,179.0736
10.1912,0,11.97928,178.9982
10.16342,0,12.00661,178.9189
10.16342,0,12.00661,178.9189
10.13534,0,12.03429,178.8373
10.10693,0,12.06235,178.7536
10.07817,0,12.09083,178.6687
10.04901,0,12.11977,178.5829
10.01945,0,12.14916,178.4972
9.989499,0,12.17898,178.4128
9.989499,0,12.17898,178.4128
9.959146,0,12.20922,178.3313
9.928403,0,12.23986,178.2529
9.897283,0,12.27087,178.1785
9.865822,0,12.30221,178.1082
9.834053,0,12.33383,178.0429
9.834053,0,12.33383,178.0429
9.802052,0,12.36562,177.9845
9.76988,0,12.39751,177.9329
9.737572,0,12.42945,177.8892
9.705228,0,12.46132,177.8542
9.672938,0,12.49302,177.8278
9.640926,0,12.52434,177.8091
9.640926,0,12.52434,177.8091
9.609271,0,12.55517,177.8009
9.577952,0,12.58549,177.8044
9.547082,0,12.61518,177.8208
9.516762,0,12.64412,177.8516
9.487171,0,12.67212,177.8978
9.487171,0,12.67212,177.8978
9.458517,0,12.69897,177.9617
9.43097,0,12.72451,178.0429
9.404764,0,12.74852,178.1425
9.380097,0,12.77084,178.2612
9.357227,0,12.79125,178.3999
9.33639,0,12.80955,178.5592
9.317884,0,12.82551,178.7399
9.30194,0,12.83899,178.9427
9.288881,0,12.84973,179.1683
9.288881,0,12.84973,179.1683
9.279036,0,12.85751,179.4187
9.272714,0,12.86214,179.6947
9.270286,0,12.8634,179.9967
9.272102,0,12.86109,179.6749
9.278548,0,12.855,179.32
9.289995,0,12.84496,178.938
9.306843,0,12.83079,178.5283
9.32953,0,12.81228,178.0903
9.32953,0,12.81228,178.0903
9.358515,0,12.78926,177.6221
9.394321,0,12.76151,177.123
9.437488,0,12.72881,176.5929
9.488535,0,12.69097,176.0315
9.547989,0,12.64785,175.4387
9.616428,0,12.59926,174.8145
9.694483,0,12.545,174.1585
9.694483,0,12.545,174.1585
9.782804,0,12.48492,173.4693
9.882095,0,12.41878,172.7477
9.992995,0,12.34644,171.994
10.11628,0,12.26763,171.2089
10.2526,0,12.18222,170.3931
10.4027,0,12.08999,169.5473
10.4027,0,12.08999,169.5473
10.56737,0,11.99077,168.6717
10.74751,0,11.8843,167.7667
10.94405,0,11.77025,166.8328
11.15007,0,11.64839,165.8712
11.35868,0,11.51839,164.8831
11.56521,0,11.37997,163.8694
