sensor-left,sensor-front,sensor-right,speed
sensor-left,sensor-front,sensor-right,speed
7.620343,31.57646,3.823133,22.3148
7.63269,30.74143,3.810499,22.31478
7.646593,29.89291,3.795999,22.31478
7.661871,29.03282,3.779813,22.31479
7.678379,28.16293,3.762095,22.3148
7.695953,27.28475,3.743022,22.31482
7.714471,26.39965,3.722727,22.31483
7.733831,25.50875,3.701327,22.31485
7.753907,24.61306,3.678962,22.31485
7.774616,23.71343,3.655727,22.31486
7.785182,23.26236,3.643813,22.31487
7.806683,22.3581,3.619457,22.31488
7.832018,21.50205,3.592055,22.31158
7.866185,20.75044,3.557837,22.30441
7.883801,20.10801,3.509406,22.29615
7.891734,19.57617,3.485486,22.28312
7.923604,19.07885,3.465924,22.25615
7.95425,18.65599,3.446685,22.23618
7.915965,18.35377,3.469557,22.22948
7.911404,18.24232,3.469989,22.23096
7.937808,18.01254,3.484841,22.21266
7.874514,17.76959,3.52352,22.16054
7.845991,17.65188,3.535952,22.05361
7.84546,17.63773,3.595603,21.90188
7.775288,17.61415,3.629103,21.72029
7.769379,17.71861,3.648916,21.54199
7.72716,17.81075,3.698228,21.3508
7.691161,17.9751,3.716057,21.15573
7.709528,18.20652,3.729319,20.97857
7.657227,18.43426,3.756558,20.81024
7.675107,18.81338,3.754225,20.67018
7.670141,19.17502,3.745499,20.55541
7.670284,19.74698,3.756358,20.40619
7.735028,20.6236,3.736754,20.243
7.722154,21.87959,3.698339,20.06893
7.782948,23.73369,3.687097,19.89516
7.837596,26.25798,3.645355,19.75441
7.880581,89.01024,3.569814,19.63777
7.982602,85.39094,3.541618,19.53393
8.000581,84.1265,3.516974,19.48804
8.021607,81.62287,3.451592,19.40072
8.082366,78.19094,3.408539,19.31278
8.123166,73.64963,3.386231,19.22228
8.107874,89.30609,3.330536,19.14605
8.120875,87.19701,3.321186,19.10192
8.152756,85.15276,3.31278,19.08734
8.13921,84.21516,3.2977,19.08939
8.09025,82.37904,3.311395,19.13364
8.057306,80.62823,3.344733,19.21879
8.037927,78.31288,3.364699,19.32581
8.016722,76.45003,3.414387,19.46251
7.971003,74.90792,3.451507,19.63934
7.931018,73.52296,3.484188,19.82489
7.898901,72.14516,3.508678,20.00936
7.872027,70.9555,3.530393,20.19781
7.848222,69.85278,3.557838,20.38411
7.826657,68.7727,3.5825,20.56824
7.807267,67.70136,3.604489,20.75109
7.790184,66.64184,3.623771,20.93333
7.782521,66.11872,3.632411,21.02434
7.768607,65.0895,3.648082,21.20615
7.756643,64.08353,3.661593,21.38744
7.742182,62.61086,3.677995,21.65878
7.738122,62.111,3.682601,21.7489
7.730965,61.12327,3.690719,21.92855
7.724957,60.14703,3.697524,22.10741
7.719984,59.17836,3.703148,22.28549
7.715989,58.21829,3.70768,22.31466
7.712892,57.26807,3.711223,22.31518
7.710585,56.32731,3.713895,22.31524
7.708966,55.39524,3.715792,22.31527
7.707954,54.47076,3.717002,22.31529
7.707469,53.55257,3.717602,22.31532
7.707452,52.63948,3.717665,22.31534
7.707842,51.73058,3.717255,22.31536
7.708591,50.82517,3.716433,22.31536
7.709655,49.92278,3.715249,22.31537
7.710993,49.02306,3.713751,22.31537
7.712569,48.12569,3.711981,22.31537
7.714351,47.23035,3.709975,22.31538
7.716309,46.33676,3.707765,22.31538
7.718418,45.44463,3.70538,22.31538
7.720655,44.55373,3.702848,22.31539
7.723,43.66382,3.70019,22.31539
7.725434,42.77479,3.697427,22.31539
7.727943,41.88643,3.694578,22.3154
7.73051,40.99864,3.69166,22.3154
7.733123,40.11131,3.688685,22.3154
7.735771,39.22436,3.685669,22.3154
7.738444,38.3377,3.682624,22.3154
7.741132,37.45126,3.679558,22.3154
7.74248,37.00811,3.67802,22.31541
7.746526,35.67881,3.673401,22.31541
7.747872,35.23575,3.671862,22.31541
7.750559,34.34964,3.668791,22.31541
7.753232,33.46354,3.665733,22.31541
7.755889,32.57741,3.662696,22.31541
7.758523,31.69121,3.659681,22.31541
7.76113,30.80598,3.656693,22.31541
7.76371,29.92727,3.653737,22.31542
7.766257,29.04845,3.650816,22.31542
7.768772,28.1695,3.647932,22.31542
7.77125,27.29041,3.645088,22.31542
7.773691,26.41116,3.642285,22.31542
7.776093,25.53175,3.639526,22.31543
7.778455,24.65218,3.636811,22.31542
7.780776,23.77244,3.634144,22.31542
7.783054,22.89252,3.631523,22.31543
7.78529,22.01242,3.62895,22.31543
7.787482,21.13214,3.626428,22.31543
7.78963,20.25169,3.623954,22.31543
7.788802,19.45018,3.624329,22.31372
7.781004,18.80951,3.631964,22.30792
7.764391,18.27357,3.650356,22.29867
7.736609,17.93733,3.685289,22.29148
7.696715,17.82784,3.743044,22.27117
7.646588,17.98171,3.828224,22.2477
7.588412,18.11717,3.945993,22.22351
7.515504,18.55925,4.09335,22.2061
7.4063,19.16508,4.255754,22.1138
7.275099,20.08599,4.489887,22.00157
7.118557,21.01242,4.776836,21.8866
6.925992,21.94354,5.019826,21.76495
6.731535,22.86622,5.341426,21.65173
6.505909,23.60269,5.666059,21.55272
6.089681,24.48077,6.108294,21.41641
5.837989,24.92138,6.442435,21.32824
5.542898,25.08428,6.678572,21.23903
5.213721,25.16901,6.947228,21.14758
4.934924,25.16395,7.206664,21.05495
4.619305,25.06375,7.381001,20.96176
4.372557,25.09645,7.558522,20.86351
4.143521,25.25765,7.725559,20.76559
3.949816,25.87481,7.776937,20.6684
3.790078,28.16428,7.849579,20.57592
3.629798,50.99966,7.934343,20.48072
3.556925,50.00151,7.958154,20.40247
3.473299,49.05182,7.933711,20.35658
3.481347,48.12613,7.928727,20.34591
3.473453,23.92614,7.94118,20.36762
3.502723,22.85884,7.908601,20.42027
3.549314,22.23262,7.85306,20.51809
3.630297,22.18617,7.813941,20.62238
3.757851,42.27872,7.796679,20.74817
3.875369,41.0293,7.69445,20.8776
4.060049,39.5628,7.589915,21.00412
4.224711,38.00827,7.491395,21.16966
4.451034,36.49457,7.326385,21.35558
4.689636,34.93991,7.125147,21.53698
4.966784,33.49297,6.936088,21.73682
5.333128,32.10634,6.704568,21.90791
5.694578,30.74286,6.405497,22.07831
6.046476,29.35703,6.127573,22.25079
6.38689,28.07939,5.863599,22.31394
6.716464,26.88519,5.480267,22.31625
7.037251,25.75845,5.113384,22.31649
7.231473,24.68338,4.759949,22.31585
7.418954,23.64626,4.418811,22.31702
7.577981,22.66306,4.10523,22.30161
7.715996,21.79813,3.888193,22.30297
7.745359,21.00182,3.730246,22.31001
7.769851,20.11796,3.640988,22.29542
7.800591,19.22837,3.605811,22.26297
7.820262,18.4102,3.591858,22.23703
7.787101,17.80381,3.61329,22.22886
7.787435,17.32007,3.621499,22.19735
7.794926,16.9871,3.679568,22.11708
7.729987,16.72706,3.706237,22.00047
7.711459,16.51991,3.771976,21.87204
7.666275,16.45053,3.825006,21.74772
7.595149,16.44188,3.860116,21.60065
7.59026,16.44506,3.928857,21.43511
7.50169,16.6564,3.96304,21.24528
7.463056,16.85383,3.985552,21.04981
7.437196,17.21925,4.030682,20.85342
7.39355,17.60183,4.042515,20.66129
7.429995,18.04184,4.02541,20.47271
7.393785,18.45932,4.04182,20.28545
7.427987,18.96333,4.030962,20.09694
7.478797,19.43456,3.990535,19.90541
7.548778,20.34162,3.942189,19.60654
7.647687,21.13949,3.89783,19.41931
7.716977,21.8689,3.817167,19.24813
7.870376,23.03233,3.727785,19.09093
7.961784,23.63824,3.669297,18.9533
8.062337,24.08989,3.58422,18.83795
8.228422,24.54715,3.468631,18.73676
8.28819,24.7388,3.418692,18.64392
8.378011,24.85349,3.340929,18.55593
8.502119,24.81002,3.216186,18.46803
8.536236,24.58804,3.142225,18.37584
8.491541,24.28583,3.058965,18.28586
8.311332,23.91989,2.934431,18.19888
8.15531,23.49442,2.894094,18.10997
7.993928,23.01236,2.82855,18.02381
7.901633,21.99459,2.77135,17.94114
7.846665,21.32369,2.766083,17.85929
7.829629,20.58317,2.739267,17.77858
7.829065,19.84106,2.771655,17.70102
7.866906,19.15724,2.809346,17.61551
7.948363,18.5366,2.839679,17.51782
8.084613,17.99798,2.923434,17.4041
8.191012,17.5558,2.978115,17.27635
8.330002,17.18904,3.040787,17.14223
8.425922,16.92718,3.120448,16.99443
8.333381,16.71509,3.185391,16.76031
8.266756,16.5561,3.261416,16.60144
8.239246,16.5127,3.312525,16.43951
8.171149,16.60584,3.338742,16.29384
8.101151,16.83263,3.366748,16.14847
8.082267,17.29645,3.402641,15.98978
8.041055,18.55576,3.415793,15.82359
7.992431,44.19547,3.408766,15.66745
8.024795,40.29718,3.406029,15.46355
7.987926,36.29708,3.396872,15.31654
8.031981,33.64154,3.371752,15.26648
8.059423,31.0486,3.329706,15.25952
8.065261,28.52339,3.32992,15.29071
8.102092,26.30038,3.320913,15.35331
8.15638,24.30324,3.295585,15.44304
8.13026,22.54997,3.267305,15.55837
8.120648,21.05589,3.283646,15.70985
8.117635,19.89888,3.293054,15.87594
8.12128,19.05873,3.29651,16.04563
8.075602,18.49393,3.374913,16.20778
7.965,18.16111,3.506125,16.43376
7.889475,18.30605,3.610261,16.55177
7.820391,18.60021,3.744153,16.71126
7.75345,18.96839,3.908895,16.89817
7.67466,19.4852,4.104016,17.14024
7.555038,19.83725,4.285457,17.34801
7.405286,20.1809,4.434736,17.56334
7.23449,20.35841,4.594166,17.75852
7.022789,20.2485,4.779695,17.96703
6.79502,20.02961,4.943813,18.1543
6.622081,19.81026,5.063635,18.3306
6.34354,19.65524,5.286658,18.5733
6.192259,19.61066,5.465357,18.72088
6.055645,19.77035,5.56877,18.8493
5.900385,20.10017,5.718371,18.96855
5.732023,20.44324,5.923355,19.10226
5.600216,20.98171,6.077848,19.26093
5.443755,21.34457,6.253502,19.43876
5.25856,21.78027,6.47806,19.62763
5.090061,22.23511,6.635382,19.81974
4.922531,22.90336,6.79299,20.01023
4.724428,24.2725,6.9851,20.19463
4.562228,47.93447,7.119999,20.36337
4.394495,45.77865,7.261626,20.50955
4.204493,43.66921,7.442422,20.68362
4.090017,41.74109,7.536263,20.85738
3.953824,40.0422,7.613894,21.03292
3.842967,38.65141,7.713754,21.20149
3.758903,37.05237,7.752612,21.37454
3.674642,35.62573,7.756339,21.55705
3.664815,34.21371,7.772125,21.7388
3.634554,32.16779,7.774586,21.89866
3.685515,30.65534,7.715346,22.06796
3.72529,29.37391,7.676047,22.24648
3.832547,28.1062,7.663644,22.30539
3.952096,26.9417,7.566736,22.32384
4.160415,26.04633,7.442705,22.32545
4.438252,25.51598,7.307057,22.30395
4.732323,25.07195,7.164844,22.32475
5.049605,24.61936,6.901757,22.31299
5.380223,24.07558,6.611884,22.30759
5.707597,23.44843,6.314233,22.30879
5.906731,22.76497,6.01272,22.31171
6.104366,22.04594,5.70814,22.3149
6.301525,21.30317,5.399975,22.31696
6.445343,20.59105,5.181469,22.3162
6.535169,19.96688,4.987073,22.3107
6.646131,19.41826,4.844789,22.30119
6.774537,18.97865,4.734881,22.29198
6.809011,18.69518,4.625259,22.28061
6.880935,18.5695,4.571218,22.29374
6.973246,18.45762,4.494896,22.3058
6.973155,18.29024,4.458881,22.31304
7.016716,18.21,4.428786,22.30358
7.063291,18.19922,4.375377,22.29038
7.062798,18.1969,4.371304,22.27944
7.125587,18.37949,4.334383,22.27365
7.14432,18.66007,4.289345,22.26798
7.187829,19.15157,4.265738,22.26144
7.276216,19.96805,4.206345,22.25674
7.315435,21.23069,4.140127,22.25517
7.443393,23.1553,4.087335,22.25586
7.504389,26.19667,4.005505,22.25329
7.62722,31.64263,3.920939,22.25574
7.746944,0,3.852,22.25783
7.886369,0,3.737983,22.27201
8.057134,76.70467,3.617392,22.29244
8.151821,82.66792,3.519011,22.26753
8.318721,85.98342,3.411051,22.30115
8.382813,70.80138,3.330572,22.30541
8.483736,73.92819,3.230164,22.30132
8.613656,75.09871,3.1022,22.29821
8.409572,14.11958,3.028522,22.29856
8.200351,11.42942,2.911188,22.28944
8.187925,9.651207,2.798185,22.30106
8.341497,8.049395,0,22.30423
7.069967,72.15302,0,21.27296
6.679457,70.9754,0,21.19064
6.592964,69.52678,0,21.05401
6.796726,67.28811,0,21.16878
7.241644,63.96376,0,21.15936
7.794749,59.22403,0,21.12432
8.436144,74.00867,42.63274,21.11834
8.924638,70.91836,38.86019,21.19696
9.084668,68.78266,1.990392,21.14093
8.703943,65.24157,2.037908,21.36776
8.230337,57.62587,2.206551,21.88615
7.71254,45.10427,33.21745,22.35541
7.645062,43.18576,32.72708,22.36751
7.791195,43.84775,32.49284,22.26898
8.046546,40.61889,3.156377,22.30971
8.452065,38.28559,3.286855,22.3214
8.351474,36.4163,3.391611,22.33296
8.235402,35.12763,3.497408,22.34715
8.104745,34.39133,3.604737,22.31868
7.965651,33.92987,3.753427,22.32953
7.824513,33.45804,3.903083,22.32393
7.67565,33.01437,4.057882,22.3515
7.415113,32.86148,4.316533,22.32478
7.23593,33.04646,4.49134,22.31869
7.048325,33.18829,4.673915,22.32836
6.846423,32.8482,4.869846,22.30983
6.642206,32.03552,5.068672,22.31031
6.442368,31.12766,5.263812,22.31202
6.248323,30.38438,5.453367,22.31481
6.058767,29.6594,5.638384,22.31709
5.871869,28.94273,5.821089,22.31773
5.687918,28.50893,5.996871,22.31472
5.509364,28.64692,6.157665,22.30672
5.340907,29.3474,6.296167,22.29707
5.185575,30.43503,6.41644,22.30806
5.044408,31.12821,6.524994,22.31422
4.916675,31.68023,6.626546,22.31551
4.801466,31.76632,6.721656,22.31555
4.697777,31.74948,6.809812,22.31563
4.604297,31.63491,6.891206,22.3156
4.519711,31.28289,6.966404,22.31551
4.44285,30.82044,7.036027,22.31541
4.372873,30.2983,7.100464,22.31534
4.309075,29.72298,7.160032,22.3153
4.279318,29.41731,7.188062,22.31529
4.22377,28.77363,7.240765,22.31529
4.173088,28.09146,7.289241,22.3153
4.126803,27.37593,7.333797,22.31532
4.08449,26.6317,7.374751,22.31534
4.046483,25.87242,7.411474,22.31748
4.017877,25.22968,7.437546,22.31155
4.001301,24.69628,7.451161,22.30577
4.002615,24.33015,7.447811,22.29806
4.010887,24.23099,7.439982,22.28682
4.042275,24.16197,7.414636,22.30184
4.096196,24.18146,7.373551,22.31144
4.16811,24.03804,7.320768,22.31432
4.252687,23.83618,7.258658,22.31975
4.352413,23.54771,7.181763,22.31652
4.465422,23.16874,7.091013,22.31438
4.593397,22.65919,6.987167,22.31223
4.741505,22.21278,6.869895,22.30655
4.917237,21.90437,6.738091,22.29732
5.128517,21.78786,6.590413,22.28858
5.3172,21.75858,6.425188,22.28115
5.545185,21.84043,6.240314,22.27601
5.830436,22.12899,6.033109,22.28231
6.046803,22.35599,5.805014,22.29478
6.285195,22.73164,5.589084,22.30609
6.423981,22.80026,5.46879,22.31248
6.657528,22.92931,5.1998,22.31578
6.837478,22.9809,4.977237,22.31539
7.046368,22.7515,4.74372,22.31475
7.199777,22.44852,4.518953,22.31415
7.309277,22.07239,4.340449,22.3137
7.436829,21.68147,4.153168,22.32133
7.516667,21.28271,4.055628,22.29305
7.558451,20.98561,3.932545,22.28775
7.640346,20.81611,3.862483,22.27885
7.692471,20.68288,3.787127,22.29579
7.708683,20.40099,3.7254,22.27633
7.766103,20.1447,3.696441,22.27143
7.770546,19.96649,3.633617,22.26113
7.787396,19.84759,3.627337,22.25933
7.84665,19.62992,3.595318,22.24857
7.80935,19.41053,3.580946,22.23427
7.808477,19.14622,3.592238,22.21947
7.813367,18.67593,3.593074,22.18899
7.744086,18.1733,3.655395,22.12154
7.7213,17.92806,3.677294,22.07212
7.707633,17.46474,3.727764,21.94103
7.596529,16.94997,3.844343,21.70514
7.545567,16.59326,3.914292,21.5465
7.539074,16.43774,3.966594,21.45916
7.441817,16.24229,4.050287,21.25467
7.341053,16.19359,4.11934,21.04793
7.294826,16.15137,4.233261,20.84688
7.167325,16.15532,4.317763,20.66721
7.071347,16.26876,4.371678,20.51341
7.036537,16.26842,4.474075,20.38908
6.917141,16.30499,4.548909,20.287
6.829577,16.40733,4.615025,20.09566
6.831433,16.43924,4.654439,20.02193
6.742806,16.62169,4.707395,19.85645
6.702991,16.8359,4.728326,19.68181
6.729316,17.09608,4.730886,19.5011
6.674195,17.46214,4.760027,19.31675
6.681481,17.7898,4.759323,19.13172
6.750078,18.28417,4.728885,18.96078
6.748359,18.70394,4.690021,18.80986
6.816878,19.26682,4.663954,18.689
6.919288,19.66471,4.612426,18.59389
