sensor-left,sensor-front,sensor-right,direction
sensor-left,sensor-front,sensor-right,direction
7.399917,23.86926,16.22308,104.2727
7.825138,23.29617,16.02043,104.7608
8.272469,22.73147,15.80561,105.2779
8.740074,22.17549,15.54954,105.8259
9.237164,21.62864,15.30047,106.4067
9.768044,21.09141,15.03368,107.0222
9.768044,21.09141,15.03368,107.0222
10.31848,20.56524,14.73394,107.6771
10.88773,20.05043,14.44297,108.3727
11.49075,19.54748,14.12277,109.1101
12.10618,19.05696,13.78531,109.8907
12.69733,18.57955,13.45946,110.7155
13.2527,18.11599,13.08757,111.5856
13.2527,18.11599,13.08757,111.5856
13.7718,17.66807,12.72095,112.5045
14.25522,17.23656,12.35299,113.4728
14.70372,16.82242,11.94988,114.4905
15.11828,16.42669,11.56469,115.5579
15.50002,16.05063,11.15267,116.675
15.50002,16.05063,11.15267,116.675
15.84966,15.69651,10.73881,117.8439
16.16929,15.36506,10.33684,119.0619
16.46046,15.05822,9.899461,120.3285
16.72477,14.77833,9.487109,121.6431
16.96392,14.52811,9.055192,123.005
17.17962,14.31091,8.626885,124.4133
17.17962,14.31091,8.626885,124.4133
17.37316,14.13176,8.214433,125.8692
17.54678,13.99479,7.77387,127.3689
17.70261,13.90525,7.364206,128.9089
17.84223,13.87123,6.935894,130.4878
17.96754,13.90179,6.519289,132.1021
17.96754,13.90179,6.519289,132.1021
18.07994,14.01033,6.123775,133.7504
18.18108,14.21327,5.721484,135.4292
18.27215,14.53478,5.352189,137.1369
18.35452,15.00697,5.014969,138.87
18.42941,15.67626,4.708863,140.6251
18.49766,16.61423,4.432956,142.4008
18.49766,16.61423,4.432956,142.4008
18.56024,17.92988,4.186405,144.1936
18.61796,19.80362,3.968431,146.0002
18.67139,21.92811,3.778299,147.819
18.72109,23.69253,3.615391,149.6469
18.76753,25.21158,3.47914,151.4808
18.76753,25.21158,3.47914,151.4808
18.81097,26.60901,3.369095,153.3189
18.85169,27.93957,3.284845,155.1582
18.88979,29.23114,3.226117,156.9958
18.92531,30.49954,3.1927,158.8299
18.95819,31.75228,3.184481,160.6577
18.95819,31.75228,3.184481,160.6577
18.98828,32.94262,3.201435,162.4772
19.01533,34.10552,3.243623,164.2858
19.039,35.2603,3.311171,166.0808
19.05886,36.40324,3.404285,167.86
19.0744,37.51777,3.523252,169.621
19.08503,38.54607,3.668443,171.3619
19.08503,38.54607,3.668443,171.3619
19.09004,39.55318,3.840269,173.0806
19.08864,40.5351,4.039239,174.775
19.08,41.45309,4.265882,176.4433
19.06317,42.28143,4.520792,178.0838
19.03712,43.08006,4.804596,179.6947
19.00075,43.82232,5.117962,178.7256
19.00075,43.82232,5.117962,178.7256
18.95293,44.44993,5.461598,177.1784
18.89242,45.06135,5.836197,175.6651
18.81791,0,6.242465,174.187
18.72822,0,6.680763,172.7443
18.62195,0,7.089134,171.3382
18.49762,0,7.528235,169.97
18.49762,0,7.528235,169.97
18.3541,0,7.932618,168.6387
18.18987,0,8.334532,167.3455
18.00338,0,8.737232,166.0913
17.79314,0,9.104095,164.8767
17.55863,0,9.495133,163.7003
17.55863,0,9.495133,163.7003
17.29863,0,9.839867,162.5604
17.01153,0,10.19524,161.4576
16.69583,0,10.54556,160.3924
16.35044,0,10.86647,159.3654
15.97549,0,11.20606,158.374
15.97549,0,11.20606,158.374
15.57015,0,11.50974,157.4163
15.13273,0,11.81384,156.4927
14.66228,0,12.12775,155.6032
14.15927,0,12.39684,154.7453
13.6226,0,12.68044,153.9192
13.05268,45.14673,12.95599,153.1224
13.05268,45.14673,12.95599,153.1224
12.44964,44.75609,13.20373,152.3502
11.8118,44.36074,13.46476,151.6027
11.19111,43.96085,13.70758,150.8778
10.60541,43.55656,13.93317,150.1734
10.04531,43.11102,14.17116,149.4878
10.04531,43.11102,14.17116,149.4878
9.57646,42.65413,14.38517,148.8179
9.087174,42.19388,14.58748,148.1639
8.706367,41.73074,14.80122,147.5246
8.313893,41.26527,14.9881,146.8986
7.954504,40.77574,15.16486,146.2842
7.643291,40.27118,15.35225,145.6798
7.643291,40.27118,15.35225,145.6798
7.320389,39.76756,15.51353,145.0815
7.057128,39.26472,15.66369,144.4881
6.807443,38.76304,15.82455,143.8981
6.547511,38.26311,15.96218,143.3099
6.358885,37.75745,16.08513,142.7218
6.167868,37.23126,16.21878,142.1321
6.167868,37.23126,16.21878,142.1321
5.967758,36.70938,16.33295,141.5367
5.708902,35.67862,16.53377,140.3279
5.708902,35.67862,16.53377,140.3279
5.566969,35.17101,16.62338,139.711
5.49768,34.66945,16.68897,139.0838
5.422695,34.16587,16.766,138.4456
5.339272,33.64631,16.82837,137.7953
5.322362,33.13344,16.86292,137.1319
5.307714,32.62759,16.90937,136.4549
5.307714,32.62759,16.90937,136.4549
5.284531,32.12966,16.94057,135.7625
5.31703,31.63976,16.94212,135.055
5.365691,31.1582,16.95611,134.3319
5.405411,30.67478,16.95489,133.593
5.483859,30.17817,16.92937,132.8375
5.483859,30.17817,16.92937,132.8375
5.599205,29.691,16.90913,132.0632
5.704702,29.21354,16.85019,131.2699
5.822791,28.74624,16.80498,130.4574
6.007576,28.28964,16.72016,129.6255
6.180998,27.84446,16.64065,128.774
6.343051,27.38993,16.53692,127.9025
6.343051,27.38993,16.53692,127.9025
6.582343,26.93444,16.42186,127.0087
6.823893,26.49081,16.29861,126.0935
7.051997,26.05967,16.14698,125.1568
7.302942,25.64168,16.00419,124.1983
7.610462,25.23745,15.81528,123.2177
7.901787,24.83985,15.6437,122.2146
7.901787,24.83985,15.6437,122.2146
8.177257,24.42236,15.42708,121.1891
8.502174,24.01783,15.21909,120.143
8.850917,23.62688,14.98446,119.0768
9.180773,23.25008,14.74063,117.9907
9.492533,22.88747,14.49141,116.8861
9.492533,22.88747,14.49141,116.8861
9.841761,22.53965,14.21288,115.7643
10.21736,22.20676,13.95403,114.6264
10.57193,21.88946,13.64265,113.474
10.90669,21.588,13.35363,112.3083
11.22252,21.30297,13.03881,111.1311
11.22252,21.30297,13.03881,111.1311
11.60501,21.03481,12.72054,109.9431
11.97122,20.78392,12.41159,108.7458
12.31715,20.55074,12.0666,107.5409
12.64418,20.33559,11.74563,106.3306
12.95358,20.13905,11.40359,105.1164
12.95358,20.13905,11.40359,105.1164
13.27684,19.96138,11.05972,103.9009
13.61128,19.80333,10.73997,102.6856
13.92888,19.66505,10.38023,101.4736
14.23084,19.54743,10.04097,100.2664
14.51859,19.45041,9.719609,99.06719
14.79314,19.37509,9.363572,97.87746
14.79314,19.37509,9.363572,97.87746
15.05575,19.32111,9.031261,96.70087
15.30723,19.28966,8.719238,95.53868
15.54875,19.27982,8.372398,94.39511
15.78096,19.29272,8.047894,93.27135
16.0044,19.4297,7.744584,92.16842
16.22007,19.89091,7.420794,91.09113
16.22007,19.89091,7.420794,91.09113
16.42891,21.45821,7.10375,90.04426
16.63124,0,6.806097,89.02854
16.82739,0,6.516794,88.04459
17.01761,0,6.1991,87.09299
17.20264,0,5.898892,86.17898
17.20264,0,5.898892,86.17898
17.38266,0,5.614977,85.30273
17.55782,0,5.346272,84.46444
