sensor-left,sensor-front,sensor-right,direction
sensor-left,sensor-front,sensor-right,direction
15.12497,0,6.745275,66.31033
15.02925,0,6.840439,64.79648
15.02925,0,6.840439,64.79648
14.92172,0,6.921427,63.30301
14.81811,0,7.005077,61.83151
14.7219,0,7.103813,60.38016
14.61327,0,7.188826,58.9505
14.51001,0,7.282356,57.54062
14.41349,0,7.385624,56.15204
14.41349,0,7.385624,56.15204
14.30318,0,7.475552,54.78293
14.20108,0,7.580858,53.43488
14.09966,0,7.690161,52.10919
13.98778,0,7.786595,50.80402
13.89177,0,7.906907,49.52072
13.77549,0,8.024422,48.25769
13.77549,0,8.024422,48.25769
13.6768,0,8.129482,47.01385
13.55848,0,8.26903,45.79056
13.45441,0,8.397463,44.58899
13.33446,0,8.524035,43.40811
13.22426,0,8.6787,42.24902
13.10082,0,8.821598,41.11108
13.10082,0,8.821598,41.11108
12.98368,0,8.97762,39.99384
12.85484,0,9.15045,38.89828
12.72983,0,9.311951,37.82416
12.59362,0,9.506269,36.77133
12.45976,0,9.702185,35.73993
12.45976,0,9.702185,35.73993
12.31413,0,9.895424,34.72961
12.17044,0,10.13113,33.7413
12.01333,0,10.35597,32.7753
11.85881,0,10.6076,31.83206
11.68811,0,10.8788,30.91196
11.52181,0,11.14215,30.01544
11.52181,0,11.14215,30.01544
11.33532,0,11.46796,29.14307
11.15636,0,11.78308,28.29541
10.95185,0,12.11796,27.47308
10.75945,0,12.46315,26.6767
10.53467,0,12.79884,25.90689
10.53467,0,12.79884,25.90689
10.32383,0,13.12576,25.16473
10.08081,0,13.44456,24.4505
9.846674,0,13.75585,23.76483
9.587279,0,14.06023,23.10849
9.327456,0,14.35829,22.48215
9.327456,0,14.35829,22.48215
9.051158,0,14.65068,21.88742
8.763161,0,14.93785,21.32419
8.469518,0,15.22022,20.79315
8.150975,0,15.49818,20.29501
7.840838,0,15.7722,19.83054
7.504733,0,16.0427,19.40051
7.504733,0,16.0427,19.40051
7.178526,0,16.31036,19.00708
6.86127,0,16.57564,18.64984
6.552291,0,16.83897,18.32947
6.250911,0,17.10081,18.04675
5.956442,0,17.3618,17.80353
5.668106,0,17.61439,17.60144
5.668106,0,17.61439,17.60144
5.385098,44.89672,17.85785,17.44415
5.106373,44.12426,18.10281,17.33163
4.831191,43.37407,18.35003,17.26501
4.558806,42.64581,18.60028,17.24554
4.288439,41.93927,18.82074,17.27444
4.019327,41.25436,18.9924,17.35281
4.019327,41.25436,18.9924,17.35281
3.750679,40.59197,19.16797,17.4838
3.481544,39.95132,19.34834,17.66705
3.211193,39.33271,19.53437,17.90314
2.951131,38.73666,19.65193,18.19293
2.69647,38.13963,19.76007,18.53757
2.69647,38.13963,19.76007,18.53757
2.485896,37.55493,19.87494,18.94073
2.308304,36.99145,19.99788,19.40408
2.164098,36.45004,20.06137,19.92868
2.054155,35.93185,20.10813,20.51541
1.967629,35.43839,20.16475,21.16547
1.967629,35.43839,20.16475,21.16547
1.917086,34.9724,20.23015,21.88281
1.880402,34.51511,20.21291,22.66928
1.881431,34.08282,20.20842,23.52585
1.887366,33.68203,20.21858,24.45367
1.932547,33.31568,20.17823,25.45422
1.973929,32.98714,20.12074,26.52921
1.973929,32.98714,20.12074,26.52921
2.055815,32.70169,20.08222,27.68362
2.12507,32.38903,20.00587,28.91815
2.236437,32.11037,19.90753,30.23315
2.331937,31.88013,19.83407,31.62891
2.460096,31.70351,19.71364,33.10513
2.460096,31.70351,19.71364,33.10513
2.576028,31.50451,19.59129,34.66388
2.712829,31.33272,19.49885,36.30112
2.843101,31.2223,19.33621,38.01569
2.982224,31.1153,19.21026,39.80341
3.121902,31.00412,19.07287,41.66321
3.121902,31.00412,19.07287,41.66321
3.257696,30.96203,18.92034,43.59247
3.402991,30.88646,18.80794,45.58676
3.530799,30.83986,18.63722,47.64169
3.679421,30.82475,18.5146,49.75504
3.805251,30.77202,18.36695,51.92245
3.946217,30.78663,18.23688,54.14182
3.946217,30.78663,18.23688,54.14182
4.073834,30.72963,18.1138,56.40872
4.200363,30.75028,17.98066,58.71906
4.330193,30.69566,17.87871,61.07083
4.440526,30.71565,17.74431,63.45996
4.574045,30.6683,17.65771,65.88437
4.684999,30.68439,17.52094,68.33997
4.684999,30.68439,17.52094,68.33997
4.806547,30.65719,17.4404,70.82294
4.92394,30.67467,17.29695,73.32962
5.02369,30.68083,17.20853,75.85764
5.117015,30.7116,17.05039,78.40338
5.189775,30.76633,16.94897,80.96344
5.2425,30.82572,16.86428,83.53482
