sensor-left,sensor-front,sensor-right,direction
sensor-left,sensor-front,sensor-right,direction
6.629013,37.96813,16.14215,123.4399
6.628105,0,16.13371,125.5099
6.644251,0,16.07225,127.5286
6.655206,0,16.0364,129.4938
6.662464,0,15.97023,131.3983
6.684625,0,15.91176,133.2399
6.690245,0,15.84584,135.0168
6.690245,0,15.84584,135.0168
6.720513,0,15.77002,136.7218
6.737048,0,15.70918,138.3531
6.765919,0,15.62099,139.909
6.792221,0,15.56248,141.3876
6.822773,0,15.47285,142.7831
6.822773,0,15.47285,142.7831
6.85772,0,15.40251,144.0948
6.892463,0,15.33077,145.322
6.935042,0,15.25234,146.4642
6.975766,0,15.19348,147.5172
7.025192,0,15.11356,148.481
7.073319,0,15.0461,149.3559
7.073319,0,15.0461,149.3559
7.129096,0,14.98502,150.1391
7.185694,0,14.91161,150.8315
7.247655,0,14.84912,151.4341
7.313342,0,14.78624,151.9457
7.381381,0,14.71755,152.368
7.381381,0,14.71755,152.368
7.498545,0,14.65546,152.7007
7.635352,0,14.55918,152.946
7.771174,0,14.4199,153.106
7.904904,0,14.28572,153.1814
8.037524,0,14.15551,153.1733
8.037524,0,14.15551,153.1733
8.170047,0,14.02823,153.0832
8.3035,0,13.90291,152.9136
8.438961,0,13.77871,152.6661
8.57754,0,13.65484,152.3424
8.720376,0,13.53059,151.9447
8.868587,0,13.40533,151.4756
8.868587,0,13.40533,151.4756
9.023307,0,13.27854,150.937
9.185752,0,13.1497,150.331
9.3571,0,13.01836,149.6603
9.538564,0,12.88413,148.9268
9.731451,0,12.74665,148.1318
9.731451,0,12.74665,148.1318
9.930901,0,12.60558,147.2742
10.12649,0,12.46044,146.3527
10.30697,0,12.31078,145.367
10.46182,0,12.15618,144.3177
10.60852,0,11.99615,143.2073
10.7486,0,11.83028,142.0366
10.7486,0,11.83028,142.0366
10.87306,0,11.65811,140.8066
10.98892,0,11.47908,139.5196
11.10335,0,11.29263,138.1768
11.21431,0,11.09806,136.7809
11.31453,0,10.92238,135.3336
11.31453,0,10.92238,135.3336
11.41769,0,10.77288,133.8366
11.52487,0,10.62841,132.2935
11.62591,0,10.50011,130.7076
11.72972,0,10.36653,129.0809
11.84078,0,10.25338,127.4173
11.95644,0,10.12963,125.72
11.95644,0,10.12963,125.72
12.06988,0,10.02014,123.9915
12.19273,0,9.906363,122.2353
12.3255,0,9.791241,120.4534
12.45993,0,9.68397,118.6496
12.59905,0,9.564103,116.8275
12.59905,0,9.564103,116.8275
12.74865,0,9.456245,114.9886
12.90891,0,9.339616,113.1366
13.07187,0,9.218586,111.2724
13.23885,0,9.10335,109.3996
13.4117,0,8.973182,107.5216
13.58983,0,8.852392,105.6385
13.58983,0,8.852392,105.6385
13.77229,0,8.721684,103.7538
13.95794,0,8.585085,101.8704
14.14544,0,8.453168,99.99146
14.33351,0,8.303868,98.11591
14.52054,0,8.168219,96.2468
14.70472,0,8.01736,94.38687
14.70472,0,8.01736,94.38687
14.88439,0,7.868658,92.5343
15.05753,0,7.717535,90.69189
15.22206,0,7.558143,88.86221
15.37585,0,7.408555,87.04767
15.517,0,7.241962,85.24545
15.517,0,7.241962,85.24545
15.64344,0,7.097008,83.45819
15.75304,0,6.931999,81.68811
15.87531,0,6.790839,79.93726
16.05381,0,6.634444,78.20346
16.21335,0,6.500229,76.48859
16.21335,0,6.500229,76.48859
16.36952,0,6.35708,74.79129
16.52255,0,6.235664,73.11349
16.67175,0,6.110796,71.45709
16.80528,0,5.978926,69.82431
16.92853,0,5.834205,68.21692
17.04709,0,5.677523,66.63608
17.16104,0,5.558539,65.0799
17.16104,0,5.558539,65.0799
17.26307,0,5.421094,63.54889
17.35147,0,5.300969,62.04391
17.43552,0,5.190276,60.56445
17.51525,0,5.067021,59.11154
17.58358,0,4.98338,57.68469
17.63805,0,4.883159,56.28479
17.63805,0,4.883159,56.28479
17.68882,0,4.804328,54.91006
17.73617,0,4.73215,53.561
17.76828,0,4.655635,52.23828
17.79137,0,4.611576,50.94165
17.81167,0,4.552696,49.67087
17.81167,0,4.552696,49.67087
17.82618,0,4.524107,48.42554
17.82275,0,4.494439,47.20612
17.81491,0,4.471443,46.01227
17.8046,0,4.471435,44.84363
17.77849,0,4.458168,43.69977
17.77849,0,4.458168,43.69977
17.75855,0,4.485276,42.57953
17.71254,0,4.502761,41.48294
17.67856,0,4.537296,40.40961
17.61666,0,4.586339,39.3591
17.56444,0,4.628978,38.33102
17.4905,0,4.710765,37.32489
17.4905,0,4.710765,37.32489
17.42079,0,4.780943,36.33963
17.33368,0,4.87766,35.37454
17.24717,0,4.982305,34.42902
17.1458,0,5.0889,33.50244
17.04308,0,5.229826,32.59427
16.92639,0,5.359957,31.70389
16.80799,0,5.525925,30.8306
16.67489,0,5.694618,29.97375
16.54126,0,5.873136,29.13275
16.54126,0,5.873136,29.13275
16.39067,0,6.08281,28.30646
16.24231,0,6.282036,27.49457
16.07325,0,6.527302,26.69684
15.91072,0,6.770078,25.91293
15.7222,0,7.030903,25.14255
15.54613,0,7.320306,24.38541
15.54613,0,7.320306,24.38541
15.33721,0,7.59906,23.64072
15.14199,0,7.900515,22.90845
14.91805,0,8.192792,22.18854
14.70117,0,8.475037,21.4809
14.4647,0,8.747631,20.78543
14.4647,0,8.747631,20.78543
14.22528,0,9.010896,20.10162
13.97726,0,9.265178,19.42963
13.71447,0,9.510795,18.76944
13.45197,0,9.74805,18.12119
13.14027,0,9.977223,17.48486
13.14027,0,9.977223,17.48486
12.84124,0,10.19856,16.86011
12.55439,0,10.41232,16.24716
12.27927,0,10.61875,15.64615
12.01545,0,10.81808,15.05716
11.76251,0,11.01053,14.48029
11.52005,0,11.1963,13.91562
11.52005,0,11.1963,13.91562
11.28768,0,11.37559,13.36313
11.06504,0,11.5486,12.82306
10.85178,0,11.71553,12.29565
10.64757,0,11.87655,11.7811
10.45206,0,12.03184,11.27945
10.26495,0,12.18157,10.79089
10.26495,0,12.18157,10.79089
10.08592,0,12.3259,10.31534
9.91466,0,12.46496,9.852905
9.7509,0,12.59893,9.403687
9.594354,0,12.72795,8.967743
9.444745,0,12.85214,8.545044
9.301812,0,12.97166,8.13562
9.301812,0,12.97166,8.13562
9.1653,0,13.08664,7.73938
9.034962,0,13.1972,7.356262
8.910555,0,13.30347,6.986328
8.791848,0,13.40558,6.629486
8.67861,0,13.50365,6.285675
8.67861,0,13.50365,6.285675
8.570621,0,13.59781,5.954742
8.467669,0,13.68817,5.636627
8.369542,0,13.77486,5.331268
8.27604,0,13.85799,5.038513
8.186973,0,13.93767,4.75827
8.102167,0,14.01399,4.490356
8.102167,0,14.01399,4.490356
8.021466,0,14.08703,4.234619
7.944674,0,14.15694,3.990906
7.871633,0,14.2238,3.759094
7.80219,0,14.2877,3.53894
7.736191,0,14.34874,3.330292
7.6736,0,14.4069,3.132568
7.6736,0,14.4069,3.132568
7.614246,0,14.4623,2.945709
7.557838,0,14.5152,2.769958
7.504176,0,14.56575,2.605103
7.453093,0,14.61409,2.450928
7.404434,0,14.66032,2.307251
7.404434,0,14.66032,2.307251
7.358056,0,14.70455,2.173737
7.313794,0,14.74692,2.050232
7.271508,0,14.78755,1.936554
7.231061,0,14.82654,1.832428
