sensor-left,sensor-front,sensor-right,direction
sensor-left,sensor-front,sensor-right,direction
14.08281,0,8.060693,92.60872
14.08281,0,8.060693,92.60872
14.10717,0,8.052279,93.41483
14.14506,0,8.035134,94.23447
14.19694,0,8.009112,95.06911
14.26314,0,7.974104,95.91785
14.34411,0,7.930009,96.78131
14.44035,0,7.876659,97.66064
14.68102,0,7.741473,99.47008
14.82666,0,7.65921,100.4002
14.99012,0,7.566859,101.3481
15.17214,0,7.464189,102.3147
15.37362,0,7.350893,103.3004
15.57837,0,7.226642,104.3057
15.57837,0,7.226642,104.3057
15.79226,0,7.091078,105.3308
15.98285,0,6.943797,106.3741
16.16826,0,6.78436,107.436
16.50719,0,6.426997,109.6095
16.50719,0,6.426997,109.6095
16.66521,0,6.228026,110.7218
16.811,0,6.014687,111.8499
16.94114,0,5.804834,112.9941
17.07138,0,5.592793,114.1524
17.18443,0,5.396593,115.325
17.2874,0,5.2208,116.5102
17.39005,0,5.052046,117.708
17.47327,0,4.909861,118.9165
17.54951,0,4.766901,120.136
17.62523,0,4.656228,121.3646
17.73134,0,4.456676,123.8487
17.78081,0,4.361431,125.1006
17.81148,0,4.308662,126.3579
17.83587,0,4.241963,127.6207
17.8597,0,4.21034,128.8872
17.8597,0,4.21034,128.8872
17.86631,0,4.171191,130.1571
17.8653,0,4.160531,131.4287
17.86374,0,4.148482,132.7001
17.84643,0,4.158936,133.9715
17.82011,0,4.174062,135.241
17.79253,0,4.206061,136.5082
17.79253,0,4.206061,136.5082
17.75167,0,4.248833,137.7725
17.69874,0,4.303128,139.0322
17.64461,0,4.374494,140.2856
17.57902,0,4.452154,141.5312
17.4988,0,4.55362,142.7687
17.4988,0,4.55362,142.7687
17.41747,0,4.656018,143.9975
17.32489,0,4.789418,145.2163
17.21664,0,4.918139,146.4236
17.1076,0,5.08582,147.6184
16.98523,0,5.242606,148.7998
16.98523,0,5.242606,148.7998
16.84862,0,5.447091,149.9675
16.71186,0,5.63769,151.1205
16.55655,0,5.878037,152.2577
16.39194,0,6.108031,153.378
16.22861,0,6.430614,154.4799
16.03768,0,6.757568,155.5628
15.84737,0,7.068648,156.626
15.84737,0,7.068648,156.626
15.64796,0,7.364982,157.6692
15.43086,0,7.647534,158.6921
15.21785,0,7.917062,159.6942
14.97784,0,8.174023,160.6746
14.73963,0,8.419086,161.6328
14.73963,0,8.419086,161.6328
14.48807,0,8.65274,162.5682
14.22579,0,8.875572,163.4803
13.96166,0,9.087966,164.3685
13.67514,0,9.290434,165.2325
13.39564,0,9.48332,166.0719
13.13308,0,9.667097,166.8864
13.13308,0,9.667097,166.8864
12.88665,0,9.842029,167.6756
12.65544,0,10.00851,168.4393
12.43875,0,10.16679,169.1773
12.23577,0,10.31721,169.8891
12.04566,0,10.46019,170.5744
12.04566,0,10.46019,170.5744
11.86764,0,10.59608,171.2329
11.70103,0,10.72515,171.8647
11.54523,0,10.84764,172.4698
11.39959,0,10.9638,173.0481
11.26358,0,11.07384,173.5996
11.13663,0,11.17799,174.1245
11.13663,0,11.17799,174.1245
11.01822,0,11.27648,174.6227
10.90788,0,11.36948,175.0947
10.80509,0,11.45725,175.5405
10.70941,0,11.53996,175.9607
10.62041,0,11.61782,176.3554
10.62041,0,11.61782,176.3554
10.53763,0,11.69106,176.725
