sensor-left,sensor-front,sensor-right,direction
sensor-left,sensor-front,sensor-right,direction
10.72189,0,12.5998,159.6768
10.94187,0,12.42641,158.5782
11.14365,0,12.24295,157.4667
11.14365,0,12.24295,157.4667
11.35657,0,12.04878,156.3424
11.54329,0,11.84311,155.2063
11.74086,0,11.62527,154.0589
11.92219,0,11.39441,152.9016
12.10404,0,11.15226,151.7352
12.10404,0,11.15226,151.7352
12.28098,0,10.92431,150.5616
12.44685,0,10.68191,149.3824
12.61978,0,10.44579,148.1991
12.76912,0,10.2351,147.0131
12.9266,0,10.00994,145.8256
12.9266,0,10.00994,145.8256
13.0709,0,9.809128,144.6378
13.21126,0,9.614271,143.4513
13.35203,0,9.406175,142.2675
13.47479,0,9.240272,141.088
13.60425,0,9.060485,139.9142
13.71636,0,8.890719,138.7476
13.71636,0,8.890719,138.7476
13.82735,0,8.73967,137.5897
13.93491,0,8.574995,136.4418
14.02677,0,8.445601,135.3051
14.12425,0,8.31001,134.1808
14.20105,0,8.181427,133.0695
14.20105,0,8.181427,133.0695
14.27853,0,8.075049,131.9724
14.34856,0,7.956172,130.8904
14.40498,0,7.873693,129.8243
14.46662,0,7.785429,128.7747
14.50221,0,7.709452,127.742
14.54409,0,7.652665,126.7268
14.54409,0,7.652665,126.7268
14.56795,0,7.5855,125.729
14.58837,0,7.561416,124.7494
14.60057,0,7.526744,123.7886
14.59899,0,7.515332,122.8467
14.59816,0,7.515632,121.9243
14.59816,0,7.515632,121.9243
14.57434,0,7.517951,121.0211
14.55773,0,7.554998,120.1376
14.51311,0,7.582569,119.2734
14.47447,0,7.648637,118.4288
14.41393,0,7.715556,117.6035
14.41393,0,7.715556,117.6035
14.35316,0,7.800757,116.7972
14.27552,0,7.909705,116.0103
14.19251,0,8.016189,115.2428
14.09661,0,8.170283,114.4949
13.99143,0,8.315921,113.7668
13.99143,0,8.315921,113.7668
13.8762,0,8.502544,113.0583
13.74921,0,8.696725,112.3697
13.61367,0,8.911929,111.7008
13.4654,0,9.158445,111.0515
13.30854,0,9.400425,110.4217
13.13935,0,9.663552,109.8111
13.13935,0,9.663552,109.8111
12.95989,0,9.919158,109.2195
12.77004,0,10.16761,108.6469
12.56687,0,10.40924,108.0932
12.35672,0,10.64437,107.5585
12.12871,0,10.87329,107.0426
12.12871,0,10.87329,107.0426
11.89871,0,11.09627,106.5456
11.64476,0,11.31359,106.0673
11.3981,0,11.52548,105.6077
11.14386,0,11.73222,105.1667
10.898,0,11.93404,104.7444
10.898,0,11.93404,104.7444
10.66006,0,12.13116,104.3405
10.42963,0,12.32383,103.9552
10.20631,0,12.51225,103.5882
9.989715,0,12.69666,103.2396
9.779477,0,12.87725,102.9091
9.575225,0,13.05425,102.5968
9.575225,0,13.05425,102.5968
9.376624,0,13.22785,102.3027
9.183314,0,13.39828,102.0266
8.99499,0,13.56573,101.7685
8.811316,0,13.73041,101.5281
8.63203,0,13.89248,101.3054
8.63203,0,13.89248,101.3054
8.456862,0,14.05212,101.1004
8.285466,0,14.20959,100.913
8.117579,0,14.36506,100.7429
7.95294,0,14.51872,100.5901
7.791337,0,14.67071,100.4542
7.791337,0,14.67071,100.4542
7.632518,0,14.82123,100.3354
7.476167,0,14.97054,100.2336
7.322044,44.80067,15.11884,100.1485
7.169936,44.02525,15.26629,100.0799
7.019634,43.25929,15.41306,100.0276
7.019634,43.25929,15.41306,100.0276
6.870941,42.50264,15.55934,99.99161
6.723537,41.75457,15.70542,99.97198
6.577209,41.01469,15.8515,99.96841
6.431757,40.28279,15.99776,99.98065
6.28701,39.55864,16.14436,100.0085
6.142751,38.84206,16.29152,100.0518
6.142751,38.84206,16.29152,100.0518
5.998787,38.13297,16.43962,100.1108
5.854821,37.43074,16.59757,100.1854
5.710651,36.73517,16.75692,100.2755
5.566092,36.04611,16.91783,100.3809
5.420984,35.3635,17.0438,100.5015
5.420984,35.3635,17.0438,100.5015
5.275146,34.68749,17.1364,100.6377
5.12756,34.01761,17.23087,100.7896
4.973455,33.3504,17.32088,100.957
4.871212,32.68433,17.34969,101.14
4.807981,32.02385,17.38066,101.3386
4.807981,32.02385,17.38066,101.3386
4.786511,31.36926,17.41404,101.5536
4.820435,30.72023,17.39865,101.7851
4.885723,30.07672,17.369,102.0334
4.981142,29.43888,17.34225,102.2984
5.127688,28.80684,17.2858,102.5806
5.303392,28.18075,17.1985,102.8803
5.303392,28.18075,17.1985,102.8803
5.504838,27.5611,17.11468,103.1989
5.746991,26.94769,17.0146,103.5369
6.021025,26.34059,16.87257,103.8949
6.318149,25.74,16.73483,104.2732
6.646689,25.14621,16.58895,104.6724
6.646689,25.14621,16.58895,104.6724
7.010637,24.56049,16.39587,105.0939
7.395637,23.98277,16.20803,105.5397
7.801881,23.41324,16.01521,106.0119
8.251024,22.8522,15.77404,106.5124
8.720778,22.30016,15.53911,107.0434
9.210614,21.75763,15.29677,107.607
9.210614,21.75763,15.29677,107.607
9.730807,21.22606,15.01073,108.208
10.28377,20.70573,14.73239,108.8478
10.85701,20.1971,14.43812,109.5279
11.44685,19.70076,14.11205,110.2497
12.05283,19.21745,13.79623,111.0146
12.05283,19.21745,13.79623,111.0146
12.62442,18.7489,13.4501,111.8265
13.16168,18.29577,13.09139,112.6861
13.66481,17.85888,12.74615,113.5937
14.13423,17.43921,12.3512,114.5501
14.5705,17.03792,11.96989,115.5558
14.5705,17.03792,11.96989,115.5558
14.97381,16.65719,11.5807,116.6137
15.34525,16.29835,11.16762,117.7233
15.68609,15.96298,10.77487,118.8844
15.99766,15.65303,10.34656,120.0966
16.28147,15.37076,9.930209,121.3592
16.53904,15.11895,9.514935,122.6716
16.53904,15.11895,9.514935,122.6716
16.77159,14.9018,9.079499,124.0349
16.98088,14.72329,8.6713,125.4478
17.16872,14.58845,8.230712,126.9086
17.33721,14.50271,7.810518,128.4139
17.48801,14.474,7.392049,129.9623
17.48801,14.474,7.392049,129.9623
17.62278,14.51252,6.962835,131.5518
17.74337,14.6306,6.566015,133.1792
17.8512,14.84589,6.153276,134.8426
17.94786,15.18122,5.770716,136.5385
18.03463,15.66955,5.42065,138.2652
