sensor-left,sensor-front,sensor-right,direction
sensor-left,sensor-front,sensor-right,direction
5.947788,0,16.08797,0.2831372
5.94907,0,16.08676,0.3796422
5.951632,0,16.08434,0.4784069
5.955497,0,16.08068,0.5793427
5.960683,0,16.07579,0.6823733
5.960683,0,16.07579,0.6823733
5.967211,0,16.06963,0.7874975
5.975111,0,16.06219,0.8947131
5.984402,0,16.05345,1.003941
5.9951,0,16.0434,1.11509
6.007225,0,16.03203,1.228082
6.007225,0,16.03203,1.228082
6.020791,0,16.01931,1.342914
6.03583,0,16.00522,1.459583
6.052356,0,15.98976,1.578014
6.070386,0,15.97292,1.698123
6.089931,0,15.95467,1.819838
6.111002,0,15.93502,1.943105
6.111002,0,15.93502,1.943105
6.133615,0,15.91395,2.06795
6.157806,0,15.89143,2.194382
6.183591,0,15.86745,2.322352
6.210973,0,15.84202,2.451796
6.239966,0,15.8151,2.582663
6.239966,0,15.8151,2.582663
6.27058,0,15.78671,2.715002
6.302848,0,15.75681,2.848829
6.336783,0,15.7254,2.984115
6.372393,0,15.69247,3.120827
6.409681,0,15.65802,3.258948
6.409681,0,15.65802,3.258948
6.448664,0,15.62203,3.398591
6.489375,0,15.58449,3.539805
6.53183,0,15.54538,3.682603
6.576041,0,15.5047,3.827109
6.622044,0,15.46242,3.973547
6.622044,0,15.46242,3.973547
6.669912,0,15.4185,4.12248
6.719729,0,15.37285,4.274111
6.771557,0,15.32543,4.428626
6.825451,0,15.27621,4.586209
6.881466,0,15.22514,4.747057
6.939656,0,15.17219,4.911386
6.939656,0,15.17219,4.911386
7.000091,0,15.11731,5.079822
7.062833,0,15.06047,5.25242
7.127944,0,15.00162,5.429354
7.195498,0,14.94072,5.610875
7.26557,0,14.87772,5.797288
7.26557,0,14.87772,5.797288
7.338261,0,14.81257,5.989514
7.413659,0,14.74522,6.187673
7.491861,0,14.6756,6.392043
7.572974,0,14.60367,6.603011
7.657109,0,14.52934,6.821051
7.744394,0,14.45256,7.046707
7.744394,0,14.45256,7.046707
7.834999,0,14.37327,7.281491
7.929071,0,14.29138,7.525664
8.026777,0,14.2068,7.779696
8.128291,0,14.11944,8.044207
8.233807,0,14.02921,8.319942
8.233807,0,14.02921,8.319942
8.34356,0,13.93602,8.608212
8.457742,0,13.83974,8.9088
8.576563,0,13.74025,9.22184
8.700243,0,13.63744,9.547609
8.828999,0,13.53121,9.886372
8.828999,0,13.53121,9.886372
8.963035,0,13.4215,10.23897
9.102567,0,13.30819,10.60519
9.247738,0,13.19125,10.98486
9.398696,0,13.07064,11.37799
9.554333,0,12.94721,11.77985
9.714812,0,12.82081,12.1896
9.714812,0,12.82081,12.1896
9.880046,0,12.69175,12.60857
10.05153,0,12.55935,13.04475
10.23015,0,12.42295,13.49871
10.41653,0,12.28221,13.97109
10.61119,0,12.13685,14.46229
10.61119,0,12.13685,14.46229
